Region,District,Local Government,Locality,Postcode,SA1,Electors,LG Sort Name,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100411,170,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100412,281,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100413,412,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100414,407,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100415,207,Augusta-Margaret River,
South West,Vasse,Shire of Augusta-Margaret River,Gracetown,6284,5100416,144,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Burnside,6285,5100416,188,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100416,1,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100417,369,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Prevelly,6285,5100418,136,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100419,204,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100420,239,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100421,246,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100422,292,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100423,3,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100424,205,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100425,214,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100426,184,Augusta-Margaret River,
South West,Warren-Blackwood,Shire of Augusta-Margaret River,Margaret River,6285,5100427,218,Augusta-Margaret River,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100502,489,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100504,193,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100506,37,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100508,286,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100509,537,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100510,599,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100511,296,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100512,172,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100513,267,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100514,309,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100516,224,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100517,254,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100518,545,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100519,402,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100520,243,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100521,306,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100522,220,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100524,256,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100525,213,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100526,172,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100527,289,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100528,175,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100529,233,Harvey,
South West,Murray-Wellington,Shire of Harvey,Leschenault,6233,5100530,470,Harvey,
South West,Murray-Wellington,Shire of Harvey,Leschenault,6233,5100531,335,Harvey,
South West,Murray-Wellington,Shire of Harvey,Leschenault,6233,5100532,312,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100533,727,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100534,430,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100536,230,Harvey,
South West,Murray-Wellington,Shire of Harvey,Leschenault,6233,5100537,242,Harvey,
South West,Murray-Wellington,Shire of Harvey,Leschenault,6233,5100538,319,Harvey,
South West,Murray-Wellington,Shire of Harvey,Leschenault,6233,5100539,211,Harvey,
South West,Murray-Wellington,Shire of Harvey,Leschenault,6233,5100540,356,Harvey,
South West,Murray-Wellington,Shire of Harvey,Roelands,6226,5100541,120,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100542,87,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100543,201,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100544,177,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100545,200,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100546,250,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100548,291,Harvey,
South West,Collie-Preston,Shire of Harvey,Australind,6233,5100549,167,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100550,258,Harvey,
South West,Murray-Wellington,Shire of Harvey,Australind,6233,5100551,182,Harvey,
South West,Collie-Preston,Shire of Capel,Boyanup,6237,5100701,192,Capel,
South West,Collie-Preston,Shire of Capel,Forrest Beach,6271,5100702,23,Capel,
South West,Collie-Preston,Shire of Capel,Ludlow,6280,5100702,22,Capel,
South West,Collie-Preston,Shire of Capel,Peppermint Grove Beach,6271,5100702,8,Capel,
South West,Collie-Preston,Shire of Capel,Stirling Estate,6271,5100702,110,Capel,
South West,Vasse,City of Busselton,Ludlow,6280,5100702,51,Busselton,
South West,Vasse,City of Busselton,Tutunup,6280,5100702,1,Busselton,
South West,Collie-Preston,Shire of Capel,Capel,6271,5100703,336,Capel,
South West,Collie-Preston,Shire of Capel,Capel,6271,5100704,355,Capel,
South West,Collie-Preston,Shire of Capel,Capel,6271,5100705,193,Capel,
South West,Collie-Preston,Shire of Capel,Capel River,6271,5100706,112,Capel,
South West,Collie-Preston,Shire of Capel,Elgin,6237,5100706,88,Capel,
South West,Collie-Preston,Shire of Capel,Peppermint Grove Beach,6271,5100707,314,Capel,
South West,Collie-Preston,Shire of Capel,Boyanup,6237,5100708,370,Capel,
South West,Collie-Preston,Shire of Capel,North Boyanup,6237,5100709,254,Capel,
South West,Collie-Preston,Shire of Capel,Boyanup,6237,5100710,232,Capel,
South West,Collie-Preston,Shire of Capel,Gwindinup,6237,5100710,37,Capel,
South West,Collie-Preston,Shire of Capel,The Plains,6237,5100710,33,Capel,
South West,Collie-Preston,Shire of Capel,Capel,6271,5100711,249,Capel,
South West,Collie-Preston,Shire of Capel,Capel,6271,5100713,363,Capel,
South West,Collie-Preston,Shire of Capel,Capel,6271,5100714,298,Capel,
South West,Bunbury,City of Bunbury,Carey Park,6230,5100801,296,Bunbury,
South West,Bunbury,City of Bunbury,Carey Park,6230,5100802,438,Bunbury,
South West,Bunbury,City of Bunbury,College Grove,6230,5100803,172,Bunbury,
South West,Bunbury,City of Bunbury,College Grove,6230,5100804,315,Bunbury,
South West,Bunbury,City of Bunbury,College Grove,6230,5100805,294,Bunbury,
South West,Bunbury,City of Bunbury,Carey Park,6230,5100807,304,Bunbury,
South West,Bunbury,City of Bunbury,College Grove,6230,5100808,75,Bunbury,
South West,Bunbury,City of Bunbury,Carey Park,6230,5100809,452,Bunbury,
South West,Bunbury,City of Bunbury,South Bunbury,6230,5100809,8,Bunbury,
South West,Bunbury,City of Bunbury,Carey Park,6230,5100810,350,Bunbury,
South West,Bunbury,City of Bunbury,South Bunbury,6230,5100810,9,Bunbury,
South West,Bunbury,City of Bunbury,Carey Park,6230,5100811,247,Bunbury,
South West,Bunbury,City of Bunbury,Carey Park,6230,5100812,277,Bunbury,
South West,Bunbury,City of Bunbury,Carey Park,6230,5100813,309,Bunbury,
South West,Bunbury,City of Bunbury,Carey Park,6230,5100814,256,Bunbury,
South West,Bunbury,City of Bunbury,Carey Park,6230,5100815,378,Bunbury,
South West,Bunbury,City of Bunbury,Carey Park,6230,5100816,236,Bunbury,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100901,195,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100902,351,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100903,323,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100904,209,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100905,439,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100906,218,Collie,
South West,Collie-Preston,Shire of Collie,Buckingham,6225,5100907,19,Collie,
South West,Collie-Preston,Shire of Collie,Cardiff,6225,5100907,83,Collie,
South West,Collie-Preston,Shire of Collie,Collie Burn,6225,5100907,34,Collie,
South West,Collie-Preston,Shire of Collie,Lyalls Mill,6225,5100907,18,Collie,
South West,Collie-Preston,Shire of Collie,Muja,6225,5100907,14,Collie,
South West,Collie-Preston,Shire of Collie,Shotts,6225,5100907,1,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100908,258,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100909,202,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100910,4,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100911,194,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100912,275,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100913,194,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100914,77,Collie,
South West,Collie-Preston,Shire of Collie,Mungalup,6225,5100914,34,Collie,
South West,Collie-Preston,Shire of Collie,Preston Settlement,6225,5100914,94,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100915,5,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100916,359,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100917,1,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100918,137,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100920,345,Collie,
South West,Collie-Preston,Shire of Collie,Yourdamung Lake,6225,5100921,6,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100922,150,Collie,
South West,Collie-Preston,Shire of Collie,Allanson,6225,5100923,226,Collie,
South West,Collie-Preston,Shire of Collie,Allanson,6225,5100924,109,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100925,232,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100926,211,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100927,267,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100928,350,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100929,241,Collie,
South West,Collie-Preston,Shire of Collie,Worsley,6225,5100930,1,Collie,
South West,Collie-Preston,Shire of Collie,Allanson,6225,5100931,58,Collie,
South West,Collie-Preston,Shire of Collie,Collie,6225,5100931,213,Collie,
South West,Collie-Preston,Shire of Collie,Harris River,6225,5100931,64,Collie,
South West,Collie-Preston,Shire of Collie,Palmer,6225,5100931,42,Collie,
South West,Collie-Preston,Shire of Collie,Worsley,6225,5100931,34,Collie,
South West,Collie-Preston,Shire of Dardanup,Dardanup West,6236,5101001,215,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Crooked Brook,6236,5101002,160,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Dardanup West,6236,5101002,3,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Ferguson,6236,5101002,189,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Wellington Forest,6236,5101002,10,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Wellington Mill,6236,5101002,95,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Dardanup West,6236,5101003,276,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Dardanup,6236,5101004,46,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Henty,6236,5101004,114,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Paradise,6236,5101004,122,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Burekup,6227,5101005,338,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Burekup,6227,5101006,127,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Picton East,6229,5101006,76,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Waterloo,6228,5101006,104,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Dardanup,6236,5101007,297,Dardanup,
South West,Bunbury,City of Bunbury,Davenport,6230,5101101,24,Bunbury,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101201,370,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101202,318,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101203,275,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101204,248,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101205,171,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101206,204,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101207,262,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101208,168,Dardanup,
South West,Bunbury,City of Bunbury,Pelican Point,6230,5101209,499,Bunbury,
South West,Bunbury,City of Bunbury,Pelican Point,6230,5101210,186,Bunbury,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101214,339,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101215,362,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101216,428,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101217,196,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101218,308,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101219,333,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101220,333,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101221,263,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101222,374,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Millbridge,6232,5101224,300,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Millbridge,6232,5101225,492,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101226,214,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Eaton,6232,5101227,369,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Millbridge,6232,5101228,169,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Millbridge,6232,5101229,249,Dardanup,
South West,Collie-Preston,Shire of Dardanup,Millbridge,6232,5101230,355,Dardanup,
